doi,title,author,affiliations,abstract,keywords,journal,year,month,type,language,categories
10.1016/0376-6357(92)90030-H,SPECIES-SPECIFIC SOUND PRODUCTION IN 3 EPHIPPIGERINE BUSH-CRICKETS,"JATHO,M;WEIDEMANN,S;KRETZEN,D",,"Songs of three Ephippigerine species (Ephippiger ephippiger, E. discoidalis and E. perforatus) have been recorded and analysed. Manipulation experiments have been carried out by removing single teeth from the pars stridens. The songs of manipulated animals show characteristic gaps within the impulse structure of the opening and closing syllables. Morphological measurements were carried out by means of SEM-photographs of the pars stridens. Combining both the bioacoustic and morphological results reveals that only the lateral part of the pars stridens is used during stridulation. Furthermore it could be shown that the individual impulse interval pattern within one syllable is also highly constant between syllables. The impulse interval pattern correlates with the pattern of tooth spacing on the pars stridens.",EPHIPPIGERINE;PARS-STRIDENS;SOUND PRODUCTION,BEHAVIOURAL PROCESSES,1992,JAN,Article,English,"Psychology, Biological;Behavioral Sciences;Zoology"
10.1890/07-0004.1,"Multi-trophic invasion resistance in Hawaii: Bioacoustics, field surveys, and airborne remote sensing","Boelman,NatalieT.;Asner,GregoryP.;Hart,PatrickJ.;Martin,RobertaE.",Columbia University;Carnegie Institution for Science;University of Hawaii System;University Hawaii Hilo,"We used airborne imaging spectroscopy and scanning light detection and ranging (LiDAR), along with bioacoustic recordings, to determine how a plant species invasion affects avian abundance and community composition across a range of Hawaiian submontane ecosystems. Total avian abundance and the ratio of native to exotic avifauna were highest in habitats with the highest canopy cover and height. Comparing biophysically equivalent sites, stands dominated by native Metrosideros polymorpha trees hosted larger native avian communities than did mixed stands of Metrosideros and the invasive tree Morella faya. A multi-trophic analysis strongly suggests that native avifauna provide biotic resistance against the invasion of Morella trees and exotic birds, thus slowing invasion ``meltdowns'' that disrupt the functioning of native Hawaiian ecosystems.",avifauna;AVIRIS;bioacoustics;Hawaiian submontane ecosystems;invasive species;landscape ecology;LiDAR;light detection and ranging;Metrosideros polymorpha;Morella faya;visible and infrared imaging spectroscopy,ECOLOGICAL APPLICATIONS,2007,DEC,Article,English,Ecology;Environmental Sciences
10.1023/A:1009695813606,Acoustic monitoring of Orthoptera and its potential for conservation,"Riede,Klaus",Zoologisches Forschungsmuseum Alexander Koenig (ZFMK),"Songs of Orthoptera can be used for inventorying and monitoring of individual species and communities. Acoustic parameters such as carrier frequency and pulse rates allow the definition of recognizable taxonomic units (RTUs) which help to overcome the taxonomic impediment due to our scanty knowledge, particularly of tropical faunas. Bioacoustic diversity is a first estimate for species richness and provides baseline data which can be a prerequisite for conservation. Additional ecological and behavioural information such as habitat preference and singing schedules can be inferred. Many Orthoptera are sensitive indicator species for habitat quality in temperate and tropical ecosystems. Examples are given for evaluation of habitat quality and deterioration by acoustic detection of Orthoptera.",conservation monitoring;bioacoustics;biodiversity;Orthoptera;tropical forests,JOURNAL OF INSECT CONSERVATION,1998,DEC,Article,English,Biodiversity Conservation;Entomology
,Vocal characteristics of Trumpeter and Tundra Swans and their hybrid offspring,"Wood,TC;Brooks,TO;Sladen,WL",George Mason University,"Trumpeter Swans (Cygnus buccinator) and Tundra Swans (C. columbianus columbianus) in captivity produce hybrid offspring that are visually similar to their parent species. In this study, call note vocalizations of Trumpeter Swans, Tundra Swans, and their hybrid offspring were analyzed for differences in call duration and initial low frequency. Sixty-five locator vocalizations were digitally recorded from four Trumpeter Swans, four Tundra Swans, and seven known Trumpeter-x-Tundra Swan hybrids. Call duration did not differ significantly among swan types ((x) over bar = 200.5 mS +/- 53.3 {[}SD], N = 65). However, the initial frequency of the locator call was significantly lower in the Trumpeter Swan ((x) over bar = 303 Hz +/- 73 {[}SD]) than in the Tundra Swan (5 = 479 Hz 89 {[}SD]). Initial low frequency of hybrid swan locator calls was intermediate ((x) over bar = 398 Hz +/- 58 {[}SD]) and did not differ significantly from either parent species. This suggests that the duration of the locator call does not vary among these swan species or their hybrids. However, the initial low frequency of the locator call differs in the two species and their hybrids demonstrate intermediate values.",Trumpeter Swan;Tundra Swan;hybrid;Cygnus buccinator;Cygnus columbianus;vocalization;bioacoustic,WATERBIRDS,2002,,Article; Proceedings Paper,English,Ornithology
10.1109/TCYB.2019.2941281,Identity Recognition Based on Bioacoustics of Human Body,"Sim,JooYong;Noh,HyungWook;Goo,Woonhoe;Kim,Namkeun;Chae,Seung-Hoon;Ahn,Chang-Geun",Electronics \& Telecommunications Research Institute - Korea (ETRI);Incheon National University,"Current biometrics rely on images obtained from the structural information of physiological characteristics, which is inherently a fatal problem of being vulnerable to spoofing. Here, we studied personal identification using the frequency-domain information based on human body vibration. We developed a bioacoustic frequency spectroscopy system and applied it to the fingers to obtain information on the anatomy, biomechanics, and biomaterial properties of the tissues. As a result, modulated microvibrations propagated through our body could capture a unique spectral trait of a person and the biomechanical transfer characteristics persisted for two months and resulted in 97.16\% accuracy of identity authentication in 41 subjects. Ultimately, our method not only eliminates the practical means of creating fake copies of the relevant characteristics but also provides reliable features.",Authentication;Biometrics (access control);Biomedical acoustics;Acoustic measurements;Transducers;Force;Access control;acoustic sensors;acoustics;authentication;biometrics;human\&\#8211;computer interaction;identification of persons;security,IEEE TRANSACTIONS ON CYBERNETICS,2021,MAY,Article,English,"Automation \& Control Systems;Computer Science, Artificial Intelligence;Computer Science, Cybernetics"
,Description and bioacoustics of a new species of the genus Isophya (Orthoptera: Tetigoniidae: Phaneropterinae) from Turkey,"Sevgili,Hasan;Demirsoy,Ali;Ciplak,Battal",Ordu University;Hacettepe University;Akdeniz University,"A new species for the genus Isophya, I. bumerangoides, is described from the Northeastern Black Sea Region of Turkey. The new species differs from closely related species in some aspects of morphology, mainly in male and female genitalia. Illustrations of external morphological characters and male and female songs are provided. Additional data on male calling song and female song of closely related bush-cricket Isophya rizeensis Sevgili, 2003 are also given. Scanning Electron Microscope images of stridulatory file of the other related species I. redtenbacheri Adelung, 1907 are provided. I. bumerangoides clearly belongs to I. amplipennis group. Our bioacoustic results suggest that within the genus Isophya, changes in calling song seem to appear more slowly than those in external morphological characters as in most tettigoniid.",Isophya bumerangoides;Orthoptera;bush-cricket;Tettigoniidae;Phaneropterinae;bioacoustics;new species;Turkey,ZOOTAXA,2012,JUN 29,Article,English,Zoology
10.1002/ece3.2242,Using bioacoustics to examine shifts in songbird phenology,"Buxton,RachelT.;Brown,Emma;Sharman,Lewis;Gabriele,ChristineM.;McKenna,MeganF.",Colorado State University;United States Department of the Interior,"Monitoring patterns in biodiversity and phenology have become increasingly important given accelerating levels of anthropogenic change. Long-term monitoring programs have reported earlier occurrence of spring activity, reflecting species response to climate change. Although tracking shifts in spring migration represents a valuable approach to monitoring community-level consequences of climate change, robust long-term observations are challenging and costly. Audio recordings and metrics of bioacoustic activity could provide an effective method for monitoring changes in songbird activity and broader biotic interactions. We used 3years of spring and fall recordings at six sites in Glacier Bay National Park, Alaska, an area experiencing rapid warming and glacial retreat, to examine the utility of bioacoustics to detect changes in songbird phenology. We calculated the Acoustic Complexity Index (ACI), an algorithm representing an index of bird community complexity. Abrupt changes in ACI values from winter to spring corresponded to spring transition, suggesting that ACI may be an effective, albeit coarse metric to detect the arrival of migrating songbirds. The first peak in ACI shifted from April 16 to April 11 from 2012 to 2014. Changes in ACI were less abrupt in the fall due to weather events, suggesting spring recordings are better suited to indicate phenology. To ensure changes in ACI values were detecting real changes in songbird activity, we explored the relationship between ACI and song of three species: varied thrush(Ixoreus naevius), Pacific wren (Troglodytes pacificus), and ruby-crowned kinglet (Regulus calendula). ACI was positively related to counts of all species, but most markedly with song of the varied thrush, the most common species in our recordings and a known indicator of forest ecosystem health. We conclude that acoustic recordings paired with bioacoustic indices may be a useful method of monitoring shifts in songbird communities due to climate change and other sources of anthropogenic disturbance.",Acoustic Complexity Index;Alaska;climate change;Glacier Bay;monitoring;songbirds;soundscape,ECOLOGY AND EVOLUTION,2016,JUL,Article,English,Ecology;Evolutionary Biology
10.3897/BDJ.3.e5792,Global Cicada Sound Collection I: Recordings from South Africa and Malawi by B. W. Price \& M. H. Villet and harvesting of BioAcoustica data by GBIF,"Baker,Ed;Price,BenjaminWills;Rycroft,Simon;Villet,MartinH.",Natural History Museum London;Rhodes University,"Background Sound collections for singing insects provide important repositories that underpin existing research (e.g. Price et al. 2007 at http://bio.acousti.ca/node/11801; Price et al. 2010) and make bioacoustic collections available for future work, including insect communication (Ordish 1992), systematics (e.g. David et al. 2003), and automated identification (Bennett et al. 2015). The BioAcoustica platform (Baker et al. 2015) is both a repository and analysis platform for bioacoustic collections: allowing collections to be available in perpetuity, and also facilitating complex analyses using the BioVeL cloud infrastructure (Vicario et al. 2011). The Global Cicada Sound Collection is a project to make recordings of the world's cicadas (Hemiptera: Cicadidae) available using open licences to maximise their potential for study and reuse. This first component of the Global Cicada Sound Collection comprises recordings made between 2006 and 2008 of Cicadidae in South Africa and Malawi. New information This collection of sounds includes 219 recordings of 133 voucher specimens, comprising 42 taxa (25 identified to species, all identified to genus) from South Africa and Malawi. The recordings have been used to underpin work on the species limits of cicadas in southern Africa, including Price et al. (2007) and Price et al. (2010). The specimens are deposited in the Albany Museum, Grahamstown, South Africa (AMGS). The harvesting of acoustic data as occurrence records by GBIF has been implemented by the Scratchpads Team at the Natural History Museum, London. This link increases the value of individual recordings and the BioAcoustica platform within the global infrastructure of biodiversity informatics by making specimen/occurence records from BioAcoustica available to a wider audience, and allowing their integration with other occurence datasets that also contribute to GBIF.",bioacoustics;BioAcoustica;Cicadidae;acoustic recording;Malawi;South Africa;GBIF,BIODIVERSITY DATA JOURNAL,2015,,Article; Data Paper,English,Biodiversity Conservation
10.7717/peerj.11998,"A new species of Phrynoglossus Peters, 1867; Dicroglossidae) from southeastern Bangladesh, with comments on the genera Occidozyga and Phrynoglossus","Trageser,Scott;Al-Razi,Hassan;Maria,Marjan;Nobel,Fahimuzzaman;Asaduzzaman,Md;Rahman,ShahriarCaesar",,"We describe a new cryptic species of Phrynoglossus from Chattogram Division, Bangladesh based on an integrative taxonomic analysis based on morphology, phylogenetics, and bioacoustics which unambiguously support the placement of the species in the genus Phrynoglossus. We also present a compilation of published morphological characters for all twelve Phrynoglossus species and two species of Occidozyga as well as comments on taxonomy, morphology, and geographic distribution for the two genera. The new species is found to be most morphologically similar to P. martensii, however a provided set of character states visibly differentiates these two species. Finally, habitat for Phrynoglossus swanbornorum sp. nov. is highly fragmented and faces imminent threats from development and agriculture, and although it is confirmed to occur within government protected areas in the southeastern region of Bangladesh, few wildlife regulations are enforced within them. Thus, following IUCN criteria, we consider the new species as Endangered based on criteria B1ab(i,ii,iii,iv) + 2ab(i,ii,iii,iv).",Amphibia;Systematics;Phylogeny;Puddle frog;Conservation;Species complex;Bioacoustic;Morphology;Anura,PEERJ,2021,AUG 19,Article,English,Multidisciplinary Sciences
10.11646/zootaxa.3635.3.1,"Fifty Shades of Grey: giving colour to the poorly known Angolan Ashy reed frog (Hyperoliidae: Hyperolius cinereus), with the description of a new species","Conradie,Werner;Branch,WilliamR.;Tolley,KrystalA.",National Research Foundation - South Africa;South African Institute for Aquatic Biodiversity;Nelson Mandela University;South African National Biodiversity Institute;Stellenbosch University,"Phylogenetic reconstruction using the mitochondrial 16S marker shows that geographically separated populations of the poorly known Hyperolius cinereus (Anura: Hyperoliidae) from Angola form two distinct clades. The description of H. cinereus was originally based on only a single preserved adult male. Fresh material of both sexes allowed a detailed redescription of the species, which is restricted mainly to the south-draining Cunene and Cubango river systems. Bioacoustic and morphological characters, in conjunction with colouration differences, allow the description of a cryptic sister species from Lagoa Carumbo in north-eastern Angola, occurring in the Luele and Lovuo river systems of the Congo drainage basin. Tadpoles, for H. cinereus and the new species, are described.",Amphibia;Hyperolius raymondi sp nov.;endemism;cryptic species,ZOOTAXA,2013,MAR 27,Article,English,Zoology
,Preliminary data on the differentiation of Milos Island water frogs,"Vervust,Bart;Brecko,Jonathan;Pafilis,Panayiotis",University of Antwerp;National \& Kapodistrian University of Athens,"The water frog of Milos Island (Southern Cyclades, Greece) has been repetitively reported to differ from the surrounding islands frogs. Geological history of Milos and the occurrence of a rich endemic herpetofauna would justify an endemic frog species on the island. Morphometric analyses and comparison with the closest frog population yield a significant differentiation. Specific phenotypic characters, such as the presence of black hands and the spotted throat, make this morph quite distinct compared to other Pelophylax kurtmuelleri populations. Bioacoustic data, be sides a slightly different mating call, fell short of supporting distinct acoustical recognition characteristics for the Milos population. Our study provides evidence, through a cluster of particular morphometric features, that Milos water frog merit a thorough taxonomic review. Nevertheless, such a revision requires a robust genetic support and further specialized studies.",Greek Marsh Frog;speciation;Mediterranean;bioacoustics;Pelophylax kurtmuelleri,JOURNAL OF BIOLOGICAL RESEARCH-THESSALONIKI,2013,,Article,English,Biology
10.11646/zootaxa.4860.2.9,"Isophya sonora, a new bush-cricket species from Eastern Black Sea region of Turkey (Orthoptera: Tettigoniidae; Phaneropterinae)","Sevgili,Hasan",Ordu University,"Herein I describe Isophya sonora sp. nov. a new bush-cricket species from Trabzon, Northeastern part of Turkey (Black Sea Region). The species is characterized by the shape of the markedly convergent fastigium, distinctly broadened pronotum at metazona, elongate tegmina and large mirror area of left tegmen in the male. The bioacoustic characteristics, and the shape and number of the teeth of stridulatory organs are also different compared to closely related species. The new species is clearly a member of I. zernovi species-group allied with I. bivittata. Both the bioacoustics, and the morphological data, demonstrate the relationships between species of the I. zernovi species-group are as follows: (I. bicarinata + (I. zernovi + I. horon)) + (I. sonora sp. n. + I. bivittata?))) + (I. karadenizensis + I. autumnalis)))).",Isophya sonora sp. n.;Orthoptera;Tettigoniidae;Barbitistini;morphology;new species;bioacoustics;calling song;Turkey,ZOOTAXA,2020,OCT 12,Article,English,Zoology
10.11646/zootaxa.4706.4.3,"A new species of Ischnocnema Reinhardt and Lutken, 1862 (Anura: Brachycephalidae) of the I. lactea species series from southeastern Brazil","Taucce,PedroP.G.;Zaidan,BarbaraF.;Zaher,Hussam;Garcia,PauloC.A.",Universidade Estadual Paulista;Universidade Federal de Minas Gerais;Universidade de Sao Paulo,"We describe a new species of Ischnocnema from the Serra da Bocaina mountain range, state of Sao Paulo, southeastern Brazil, based on morphological, bioacoustic, and mtDNA data. The new species is retrieved with high support values within the I. lactea species series as the sister species of I. spanios. Ischnocnema bocaina sp. nov. is characterized by its medium size (18.6-19.0 mm), a smooth venter, a rounded snout in dorsal view and acuminate in lateral view, a slightly expanded subgular, single vocal sac, a round and whitish, poorly-developed glandular-appearing nuptial pad on the dorsal surface of the thumb, and a nonpulsed advertisement call with 9 to 18 notes. We raise to 38 the number of Ischnocnema species, the 12th described in the past 10 years.",Atlantic Rainforest;Bioacoustics;Brachycephaloidea;Integrative taxonomy;Molecular phylogeny,ZOOTAXA,2019,DEC 11,Article,English,Zoology
10.11646/zootaxa.4508.3.1,Two new and potentially highly threatened Megophrys Horned frogs (Amphibia: Megophryidae) from Indochina's highest mountains,"Tapley,Benjamin;Cutajar,Timothy;Mahony,Stephen;ChungThanhNguyen;VinhQuangDau;AnhMaiLuong;DzungTrungLe;TaoThienNguyen;TruongQuangNguyen;Portway,Christopher;VanLuong,Hao;Rowley,JodiJ.L.",Zoological Society of London;Australian Museum;Natural History Museum London;University College Dublin;Hong Duc University;Hanoi National University of Education;Vietnam Academy of Science \& Technology (VAST);Vietnam Academy of Science \& Technology (VAST);Vietnam Academy of Science \& Technology (VAST);University of New South Wales Sydney,"Megophrys are a group of morphologically conserved, primarily forest-dependent frogs known to harbour cryptic species diversity. In this study, we examined populations of small-sized Megophrys from mid- and high elevation locations in the Hoang Lien Range, northern Vietnam. On the basis of morphological, molecular and bioacoustic data, individuals of these populations differed from all species of Megophrys known from mainland Southeast Asia north of the Isthmus of Kra and from neighbouring provinces in China. Further, the newly collected specimens formed two distinct species-level groups. We herein describe two new species, Megophrys fansipanensis sp. nov. and Megophrys hoanglienensis sp. nov. Both new species are range restricted and likely to be highly threatened by habitat degradation. These discoveries highlight the importance of the Hoang Lien Range for Vietnam's amphibian diversity.",Bioacoustics;Hoang Lien;Megophryinae;Megophrys fansipanensis sp nov.;Megophrys hoanglienensis sp nov.;Panophrys;Southeast Asia;sympatric;Xenophrys,ZOOTAXA,2018,NOV 1,Article,English,Zoology
,The advertisement calls of the green toad (Bufo viridis): Variability and role in mate choice,"Giacoma,C;Zugolaro,C;Beani,L",University of Turin,"We studied the calling behavior of three Italian populations of the green toad (Bufo viridis). An analysis of male advertisement calls revealed a significant influence of both body size and temperature on call properties. Large males uttered relatively low pitched and long calls. Temperature affected temporal but not spectral parameters. Therefore, female phonotaxis experiments were focused on calls differing in fundamental frequency, which was the most constant parameter within males and a potentially reliable acoustic indicator of male size. In discrimination experiments, females preferred low-pitched calls. A skeletochronological analysis showed a significant relationship between early sexual maturity and large size, which may be an indicator of potential mate quality in anurans.",Bufo viridis;advertisement calls;bioacoustic analysis;playback mate-choice trials;skeletochronological analysis,HERPETOLOGICA,1997,DEC,Article,English,Zoology
10.1371/journal.pone.0181026,"Species delimitation in frogs from South American temperate forests: The case of Eupsophus, a taxonomically complex genus with high phenotypic variation","Correa,Claudio;Vasquez,Dayana;Castro-Carrasco,Camila;Zuniga-Reinoso,Alvaro;CarlosOrtiz,Juan;EduardoPalma,R.",Universidad de Concepcion;Pontificia Universidad Catolica de Chile;Universidad San Sebastian;Universidad de Chile,"One of the most characteristic and abundant amphibian taxa of South American temperate forests is Eupsophus. The ten currently recognized species of the genus have been divided in two species groups, roseus and vertebralis, but most of them, eight, belong to the roseus group. Recent phylogeographic and phylogenetic studies have suggested that species diversity of the roseus group could be underestimated. An examination of the literature shows that species of the roseus group exhibit high levels of variation in their external characteristics, particularly those used as diagnostic characters, which compromises their taxonomy and hinders their field recognition. High levels of variation were also observed in several new populations of the roseus group discovered in southern Chile (36 degrees - 40 degrees S), which could not be identified to the species level by their external characteristics. On the other hand, the literature reveals a scarse karyotype differentiation and a high bioacoustic uniformity among the species of the roseus group. We performed a Bayesian phylogenetic analysis using mitochondrial and nuclear genes to reevaluate the species diversity of the roseus group, including all the nominal species of Eupsophus and new populations. This analysis was complemented with three species delimitation approaches, General Mixed Yule Coalescent, multi-rate Poisson Tree Process and Automatic Barcode Gap Discovery. We favored a conservative delimitation of only four species for the roseus group, a result more consistent with the distribution of pairwise genetic distances, and the available chromosome and bioacoustic evidence. The four recognized lineages, which have nearly completely allopatric distributions, are named after the earliest nominal species that they include, but because high levels of phenotypic variation, they are not diagnosable by consistent differences in external morphology. We discuss the implications of this new proposal for the taxonomy and conservation of the genus, and the possible causes of the difficulty to estimate its species diversity.",,PLOS ONE,2017,AUG 15,Article,English,Multidisciplinary Sciences
10.1098/rsbl.2006.0505,High level of cryptic species diversity revealed by sympatric lineages of Southeast Asian forest frogs,"Stuart,BryanL.;Inger,RobertF.;Voris,HaroldK.",Field Museum of Natural History (Chicago);University of Illinois System;University of Illinois Chicago;University of Illinois Chicago Hospital,"Amphibians tend to exhibit conservative morphological evolution, and the application of molecular and bioacoustic tools in systematic studies have been effective at revealing morphologically `cryptic' species within taxa that were previously considered to be a single species. We report molecular genetic findings on two forest-dwelling ranid frogs from localities across Southeast Asia, and show that sympatric evolutionary lineages of morphologically cryptic frogs are a common pattern. These findings imply that species diversity of Southeast Asian frogs remains significantly underestimated, and taken in concert with other molecular investigations, suggest there may not be any geographically widespread, forest-dwelling frog species in the region. Accurate assessments of diversity and distributions are needed to mitigate extinctions of evolutionary lineages in these threatened vertebrates.",biodiversity;speciation;conservation;amphibians,BIOLOGY LETTERS,2006,SEP 22,Article,English,Biology;Ecology;Evolutionary Biology
,"Electrophoretic studies of hybrids of water frogs (Rana epeirotica, R-balcanica) in the Ionian zone of Greece","Sofianidou,TS",,"Natural hybrids of Rana epeirotica and Rana balcanica were studied by means of vertical acrylamide electrophoresis to confirm the various types of hybrids distinguished by the bioacoustic method. On the basis of four diagnostic loci (Ldh-1, Mdh-1, a muscle protein, and plasma albumin) at least three types of hybrids are distinguished. The most common type is the typical intermediate hybrid, which at all four loci displayed the two alleles of the parent species in the form of typical heterozygosity. Other types of hybrids give evidence of triploidy with either two genomes of R. balcanica and one of R. epeirotica, or one genome of R. balcanica and two of R. epeirotica. The possible role of the hybrid types is discussed.",,ISRAEL JOURNAL OF ZOOLOGY,1996,,Article; Proceedings Paper,English,Zoology
10.5358/hsj.34.128,"Description of a New Species of the Genus Leptobrachella (Amphibia, Anura, Megophryidae) from Borneo","Eto,Koshiro;Matsui,Masafumi;Nishikawa,Kanto",Kyoto University,"We describe a tiny megophryid frog Leptobrachella juliandringi sp. nov. from Northeastern to Central Sarawak, Malaysian Borneo. This species is distributed in hilly and montane regions, and has long been confused with L. mjobergi. Based on the assessment using morphological and bioacoustic approaches, we conclude that the new species is distinct from all the other congeneric species including topotypic L. mjobergi from western Sarawak in possessing a series of elongate glands ventrolaterally on the trunk, broken reticulated marking on the ventrum, strap-like lineae masculinae, and an advertisement call with a chirp. The new species is also differentiated phylogenetically from the other congeners, and tends to form a group with true L. mjobergi but with a large genetic divergence.",New species;MtDNA;Phylogeny;Leptobrachella mjobergi;Borneo;Taxonomy,CURRENT HERPETOLOGY,2015,AUG,Article,English,Zoology
10.1121/1.4795220,Underwater noise of small personal watercraft (jet skis),"Erbe,Christine",Curtin University,"Personal watercraft (water scooters, jet skis) were recorded under water in Bramble Bay, Queensland, Australia. Underwater noise emissions consisted of broadband energy between 100 Hz and 10 kHz due to the vibrating bubble cloud generated by the jet stream, overlain with frequency-modulated tonals corresponding to impeller blade rates and harmonics. Broadband monopole source levels were 149, 137, and 122 dB re 1 mu Pa @ 1m (5th, 50th, and 95th percentiles). Even though these are lower than those of small propeller-driven boats, it is not necessarily the broadband source level that correlates with the bioacoustic impact on marine fauna. (C) 2013 Acoustical Society of America",,JOURNAL OF THE ACOUSTICAL SOCIETY OF AMERICA,2013,APR,Article,English,Acoustics;Audiology \& Speech-Language Pathology
,Forceps delivery of a new treefrog species of the genus Boophis from eastern Madagascar (Amphibia: Mantellidae),"Vallan,Denis;Vences,Miguel;Glaw,Frank",Braunschweig University of Technology,"We describe a new treefrog species of the genus Boophis (subgenus Sahona) from eastern Madagascar. Boophis calcaratus sp. nov. is distinguished from other species of the group by the presence of distinct dermal heel tubercles which are especially well developed in females. We also re-examined the type specimens of Boophis hillenii, a species that has not been rediscovered after its description in 1979. According to our analysis this taxon shows no consistent morphological differences to Boophis idae and supposed bioacoustic differences may be explained by two distinct call types in this species, and we thus suggest to consider hillenii as junior synonym of idae.",Boophis calcaratus;Boophis hillenii;Boophis idae;new species;Sahona,AMPHIBIA-REPTILIA,2010,,Article,English,Zoology
,Geographic variation of genetic and behavioral traits in northern and southern Tungara frogs,"Prohl,Heike;Koshy,ReginaA.;Mueller,Ulrich;R;,A.Stanley;Ryan,MichaelJ.","University of Texas System;University of Texas Austin;Smithsonian Institution;Smithsonian Tropical Research Institute;University of Veterinary Medicine Hannover, Foundation","We use a combination of microsatellite marker analysis and mate-choice behavior experiments to assess patterns of reproductive isolation of the tungara frog Physalaemus pustulosus along a 550-km transect of 25 populations in Costa Rica and Panama. Earlier studies using allozymes and mitochondrial DNA defined two genetic groups of tdngara frogs, one ranging from Mexico to northern Costa Rica (northern group), the second ranging from Panama to northern South America (southern group). Our more fine-scale survey also shows that the northern and southern tungara frogs are genetically different and geographically separated by a gap in the distribution in central Pacific Costa Rica. Genetic differences among populations are highly correlated with geographic distances. Temporal call parameters differed among populations as well as between genetic groups. Differences in calls were explained better by geographic distance than by genetic distance. Phonotaxis experiments showed that females preferred calls of males from their own populations over calls of males from other populations in about two-thirds to three-fourths of the contrasts tested. In mating experiments, females and males from the same group and females from the north with males from the south produced nests and tadpoles. In contrast, females from the south did not produce nests or tadpoles with males from the north. Thus, northern and southern tungara frogs have diverged both genetically and bioacoustically. There is evidence for some prezygotic isolation due to differences in mate recognition and fertilization success, but such isolation is hardly complete. Our results support the general observation that significant differences in sexual signals are often not correlated with strong genetic differentiation.",bioacoustic variation;genetic variation;microsatellites;Physalaemus pustulosus;reproductive isolation;Tungara frogs,EVOLUTION,2006,AUG,Article,English,Ecology;Evolutionary Biology;Genetics \& Heredity
10.1134/S0022093015050063,Neurophysiological approaches to studying the functional role of auditory critical bands,"Malinina,E.S.;Egorova,M.A.;Akimov,A.G.",North-Western State Medical University named after I.I. Mechnikov;Russian Academy of Sciences;Sechenov Institute of Evolutionary Physiology \& Biochemistry,"Neurophysiological data on the evaluation of neural correlates of the involvement of auditory critical bands in sound localization and recognition are presented. Single unit activity was recorded extracellularly in the central nucleus of the inferior colliculus in house mouse females. In the first part, the neuronal sensitivity to acoustic signals simulating spectral localization cues (notch noise with different bandwidths) was studied. Evaluation of neuronal response variability depending on notch bandwidths revealed that the 1/3 octave notch bandwidth was optimal for the analysis of the localization-significant spectral information. This notch bandwidth corresponded to the average critical bandwidth of the auditory midbrain neurons determined previously by the narrow-band masking method. In the second part, the selectivity of neuronal responses to a discomfort-signaling mouse pup wriggling call, its models and frequency components, was evaluated. The data obtained demonstrated that the wriggling call models with frequency components located, like in a natural call, in three non-overlapping critical bands evoked stronger neuronal responses than the other models. These findings support the suggestion of the universal role the critical-band mechanism plays in processing different parameters of acoustic stimuli.",inferior colliculus;auditory critical bands;sound localization;analysis of bioacoustic signals,JOURNAL OF EVOLUTIONARY BIOCHEMISTRY AND PHYSIOLOGY,2015,SEP,Article,English,Biochemistry \& Molecular Biology;Evolutionary Biology;Physiology
10.26107/RBZ-2020-0096,"A systematic review of the Pulchrana picturata complex, with the description of a new species from Peninsular Malaysia, Sumatra, and southern Thailand","Chan,KinOnn;Abraham,RobinK.;Grismer,L.Lee;Brown,RafeM.",National University of Singapore;University of Kansas;University of Kansas,"A genomic study by Chan and colleagues demonstrated that Pulchrana picturata from Peninsular Malaysia and Sumatra (and southern Thailand by implication) are distinct from the name-bearing lineage from Borneo. In this study, we present additional morphological and bioacoustic data to support the recognition of the new species, which we describe herein. The new species, P. sundabarat, can be distinguished from its sister species, P. picturata, by having a more conspicuous and defined dorsolateral stripe, brighter coloured dorsal markings, smaller male body size, and marked differences in various aspects of the male advertisement call. We also provide an updated synthesis on the current knowledge of the P. picturata group with regard to taxonomy, distribution, evolutionary relationships, and ecology.",taxonomy;Pulchrana signata;morphology;bioacoustics;advertisement call,RAFFLES BULLETIN OF ZOOLOGY,2020,,Review,English,Zoology
10.1016/j.ecoinf.2013.11.005,Classifying insects on the fly,"Potamitis,Ilyas",Hellenic Mediterranean University,"Insects have an unremitting impact on human life, in both beneficial and harmful ways. Many species perform complex ecological roles in plant life cycles by pollinating many plants and consuming dead tissues or acting as predators to pests and therefore having a vital part in shaping our ecosystem. Certain species have a direct economic benefit, e.g. bees and silkworms, while many others cause extensive damage on stored products, crops and plantations by feeding on grain, leaves or fruits. At the top of the hazard scale a few parasitic species transmit harmful viruses that cause serious illnesses and even death to humans, pets and livestock. To understand and assess the impact of insects one needs to have a picture of species existence, spatial distribution and population density. Our discussion on classifying flying insects is based on the recordings of novel advanced sensors and highly accurate classification techniques. The ultimate goal is to embed the classification module in insect traps and form a wireless network of species counting. This work focuses on the classification of insects based solely on their wingflap during flight. The proposed classification approach won first prize among 30 international teams in the 2012 Competition of Insect Classification organized by the University of California at Riverside. ",Classification of flying insects;Classification of bioacoustic signals;Complex Gaussian mixture models;Computational ecology,ECOLOGICAL INFORMATICS,2014,MAY,Article,English,Ecology
